Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_p90,Ast_p90,G+A_p90,G-PK_p90,G+A-PK_p90,Sh,SoT,SoT%,Fls,Fld,Off,Crs,Int,TklW
Lewis Wing,ENG,MF,29,49,49,"4,401",48.9,11,8,19,11,0,0,5,0,0.22,0.16,0.39,0.22,0.39,94,25,26.6,38,38,1,217,49,85
Tyler Bindon,NZL,DF,19,47,46,"4,181",46.5,3,0,3,3,0,0,3,0,0.06,0.00,0.06,0.06,0.06,23,8,34.8,25,37,1,5,45,28
Harvey Knibbs,ENG,MF,25,46,43,"3,918",43.5,14,6,20,10,4,4,4,0,0.32,0.14,0.46,0.23,0.37,55,23,41.8,67,64,3,42,46,74
Charlie Savage,WAL,MF,21,49,43,"3,870",43.0,7,12,19,7,0,0,7,0,0.16,0.28,0.44,0.16,0.44,74,19,25.7,34,10,2,179,27,49
Chem Campbell,WAL,FW,21,41,37,"3,183",35.4,7,2,9,7,0,0,3,0,0.20,0.06,0.25,0.20,0.25,48,21,43.8,43,57,13,42,15,19
Amadou Mbengue,SEN,DF,22,36,33,"2,983",33.1,1,0,1,1,0,0,10,0,0.03,0.00,0.03,0.03,0.03,14,4,28.6,36,45,0,18,35,46
Michael Craig,SCO,DF,21,32,29,"2,652",29.5,2,0,2,2,0,0,3,0,0.07,0.00,0.07,0.07,0.07,13,2,15.4,18,24,0,50,23,56
Andre Garcia,ENG,DF,16,40,31,"2,621",29.1,0,2,2,0,0,0,6,0,0.00,0.07,0.07,0.00,0.07,9,4,44.4,36,40,0,19,24,27
Kelvin Ehibhatiomhan,ENG,FW,21,34,27,"2,281",25.3,4,3,7,4,0,0,6,1,0.16,0.12,0.28,0.16,0.28,31,11,35.5,38,29,18,31,7,17
Sam Smith,ENG,FW,26,26,25,"2,254",25.0,11,2,13,10,1,1,7,0,0.44,0.08,0.52,0.40,0.48,55,28,50.9,33,30,18,5,5,3
Jayden Wareham,ENG,FW,21,41,19,"1,916",21.3,5,1,6,5,0,0,2,0,0.23,0.05,0.28,0.23,0.28,35,13,37.1,36,15,18,2,8,22
Mamadi Camará,GNB,FW,20,36,21,"1,775",19.7,4,2,6,4,0,0,3,0,0.20,0.10,0.30,0.20,0.30,17,9,52.9,21,19,9,11,7,20
Ben Elliott,CMR,MF,21,22,19,"1,630",18.1,2,5,7,2,0,0,4,0,0.11,0.28,0.39,0.11,0.39,27,9,33.3,34,31,0,5,6,30
Kelvin Abrefa,ENG,DF,20,29,13,"1,331",14.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,3,0,0.0,18,18,0,28,12,15
Harlee Dean,ENG,DF,33,22,9,947,10.5,0,1,1,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10,4,3,75.0,8,4,0,3,3,5
Tivonge Rushesha,WAL,DF,22,20,11,941,10.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,2,0,0.0,11,19,0,13,3,8
Jeriel Dorsett,MSR,DF,22,15,11,864,9.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,6,2,33.3,4,13,0,13,9,11
Abraham Kanu,SLE,DF,18,13,7,660,7.3,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0,0,0.0,4,6,0,0,3,6
Adrian Akande,NGA,FW,20,18,6,590,6.6,1,1,2,1,0,0,0,0,0.15,0.15,0.31,0.15,0.31,7,1,14.3,5,2,5,14,2,3
Louie Holzman,ENG,DF,20,12,5,556,6.2,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0,0,0.0,4,2,0,1,6,3
Andy Yiadom,GHA,DF,32,14,4,495,5.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,3,1,33.3,8,10,0,3,4,7
Billy Bodin,WAL,FW,32,16,3,353,3.9,2,1,3,2,0,0,0,0,0.51,0.25,0.76,0.51,0.76,8,3,37.5,5,5,6,6,1,3
Michael Stickland,ENG,DF,21,5,4,345,3.8,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,1,0,0.0,3,3,0,0,7,7
Ashqar Ahmed,ENG,DF,18,8,2,274,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0,0,0.0,4,1,0,1,0,1
Basil Tuma,MLT,FW,18,6,1,120,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0.0,2,3,1,2,0,1
Emmanuel Osho,NIG,MF,18,3,1,91,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0.0,0,1,0,0,0,1
Shay Spencer,ENG,MF,18,2,1,88,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0.0,0,0,0,0,0,0
Tom Carroll,ENG,MF,32,9,0,74,0.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0,0,0.0,1,0,0,2,0,0
Tyler Sackey,ENG,MF,18,1,0,30,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0.0,0,0,0,0,0,0
Femi Azeez,NGA,MF,23,1,0,29,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,3,2,66.7,0,0,0,0,1,0
Jack Senga-Ngoyi,BEL,MF,20,1,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0.0,0,0,0,0,0,0
